loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_macro_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.93222900390625,5.963244438171387,1.8490566037735852e-05,0.3787878787878788,50,,,,,,,,,,,
0.5695841598510742,12.531031608581543,1.8063157894736846e-05,0.7575757575757576,100,,,,,,,,,,,
,,,1.0,132,0.49850738048553467,0.7721121722429073,0.7766666666666666,3.6212,165.693,5.247,,,,,
0.5249802398681641,6.19284725189209,1.5957894736842105e-05,1.1363636363636362,150,,,,,,,,,,,
0.33652523040771487,7.46841287612915,1.3852631578947368e-05,1.5151515151515151,200,,,,,,,,,,,
0.31423215866088866,6.11207914352417,1.1747368421052632e-05,1.893939393939394,250,,,,,,,,,,,
,,,2.0,264,0.4335725009441376,0.8243049510676378,0.8283333333333334,3.8417,156.18,4.946,,,,,
0.1565193271636963,3.966216564178467,9.642105263157896e-06,2.2727272727272725,300,,,,,,,,,,,
0.13713166236877442,20.587995529174805,7.536842105263158e-06,2.6515151515151514,350,,,,,,,,,,,
,,,3.0,396,0.5536754131317139,0.8473681281212716,0.85,4.0229,149.147,4.723,,,,,
0.11470779418945312,2.5535850524902344,5.431578947368421e-06,3.0303030303030303,400,,,,,,,,,,,
0.07796393871307374,5.1272053718566895,3.3263157894736848e-06,3.409090909090909,450,,,,,,,,,,,
0.040048623085021974,17.962413787841797,1.2210526315789475e-06,3.787878787878788,500,,,,,,,,,,,
,,,4.0,528,0.6486836671829224,0.8509693447256176,0.8533333333333334,4.0542,147.995,4.687,,,,,
,,,4.0,528,,,,,,,254.1092,33.057,2.078,552538177228800.0,0.305094517315879
,,,4.0,528,0.6486836671829224,0.8509693447256176,0.8533333333333334,3.854,155.684,4.93,,,,,
