loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_macro_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0650103759765626,4.429013252258301,1.8490566037735852e-05,0.3787878787878788,50,,,,,,,,,,,
0.7670361328125,17.436628341674805,1.8063157894736846e-05,0.7575757575757576,100,,,,,,,,,,,
,,,1.0,132,0.6006835103034973,0.76123026788445,0.7616666666666667,3.9192,153.091,4.848,,,,,
0.6339231109619141,11.260894775390625,1.5957894736842105e-05,1.1363636363636362,150,,,,,,,,,,,
0.47952262878417967,13.903298377990723,1.3852631578947368e-05,1.5151515151515151,200,,,,,,,,,,,
0.47923606872558594,14.501620292663574,1.1747368421052632e-05,1.893939393939394,250,,,,,,,,,,,
,,,2.0,264,0.5654721260070801,0.7689197574230345,0.77,4.2592,140.871,4.461,,,,,
0.3317813491821289,7.5176496505737305,9.642105263157896e-06,2.2727272727272725,300,,,,,,,,,,,
0.23798534393310547,4.770015716552734,7.536842105263158e-06,2.6515151515151514,350,,,,,,,,,,,
,,,3.0,396,0.6228914260864258,0.7818235365783931,0.7816666666666666,4.1842,143.396,4.541,,,,,
0.20562332153320312,0.9625570774078369,5.431578947368421e-06,3.0303030303030303,400,,,,,,,,,,,
0.09256111145019531,3.972975969314575,3.3263157894736848e-06,3.409090909090909,450,,,,,,,,,,,
0.12034584045410156,21.348159790039062,1.2210526315789475e-06,3.787878787878788,500,,,,,,,,,,,
,,,4.0,528,0.7257390022277832,0.7800541769536445,0.78,4.2109,142.488,4.512,,,,,
,,,4.0,528,,,,,,,253.5403,33.131,2.083,552538177228800.0,0.42079080392916995
,,,4.0,528,0.6228914260864258,0.7818235365783931,0.7816666666666666,3.9535,151.763,4.806,,,,,
